request_id,output_id,overall_status,failed_controls,review_controls
REQ-0102,OUT-0102,pass,,
REQ-0103,OUT-0103,review,,"CONTENT_SAFETY,COMPLAINT_HANDLING"
REQ-0104,OUT-0104,review,,CONTENT_SAFETY
REQ-0105,OUT-0105,pass,,
REQ-0106,OUT-0106,fail,CONTENT_SAFETY,
REQ-0107,OUT-0107,pass,,
REQ-0108,OUT-0108,pass,,
REQ-0109,OUT-0109,pass,,
REQ-0110,OUT-0110,review,,AIGC_VISIBLE_LABEL
REQ-0111,OUT-0111,pass,,
REQ-0112,OUT-0112,pass,,
REQ-0113,OUT-0113,pass,,
REQ-0114,OUT-0114,pass,,
REQ-0115,OUT-0115,pass,,
REQ-0116,OUT-0116,pass,,
REQ-0117,OUT-0117,pass,,
REQ-0118,OUT-0118,pass,,
REQ-0119,OUT-0119,review,,AIGC_VISIBLE_LABEL
REQ-0120,OUT-0120,review,,CONTENT_SAFETY
REQ-0121,OUT-0121,pass,,
REQ-0122,OUT-0122,pass,,
REQ-0123,OUT-0123,pass,,
REQ-0124,OUT-0124,pass,,
REQ-0125,OUT-0125,pass,,
REQ-0126,OUT-0126,review,,AIGC_VISIBLE_LABEL
REQ-0127,OUT-0127,pass,,
REQ-0128,OUT-0128,pass,,
REQ-0129,OUT-0129,pass,,
REQ-0130,OUT-0130,pass,,
REQ-0131,OUT-0131,pass,,
REQ-0132,OUT-0132,pass,,
REQ-0133,OUT-0133,pass,,
REQ-0134,OUT-0134,review,,AIGC_VISIBLE_LABEL
REQ-0135,OUT-0135,pass,,
REQ-0136,OUT-0136,pass,,
REQ-0137,OUT-0137,pass,,
REQ-0138,OUT-0138,pass,,
REQ-0139,OUT-0139,pass,,
REQ-0140,OUT-0140,fail,CONSENT_EXISTS,
REQ-0141,OUT-0141,pass,,
REQ-0142,OUT-0142,pass,,
REQ-0143,OUT-0143,pass,,
REQ-0144,OUT-0144,pass,,
REQ-0145,OUT-0145,pass,,
REQ-0146,OUT-0146,review,,AIGC_VISIBLE_LABEL
REQ-0147,OUT-0147,pass,,
REQ-0148,OUT-0148,review,,AIGC_VISIBLE_LABEL
REQ-0149,OUT-0149,pass,,
REQ-0150,OUT-0150,pass,,
REQ-0151,OUT-0151,review,,AIGC_VISIBLE_LABEL
REQ-0152,OUT-0152,pass,,
REQ-0153,OUT-0153,pass,,
REQ-0154,OUT-0154,pass,,
REQ-0155,OUT-0155,pass,,
REQ-0156,OUT-0156,pass,,
REQ-0157,OUT-0157,pass,,
REQ-0158,OUT-0158,pass,,
REQ-0159,OUT-0159,pass,,
REQ-0160,OUT-0160,pass,,
REQ-0161,OUT-0161,pass,,
REQ-0162,OUT-0162,review,,CONTENT_SAFETY
REQ-0163,OUT-0163,pass,,
REQ-0164,OUT-0164,pass,,
REQ-0165,OUT-0165,pass,,
REQ-0166,OUT-0166,pass,,
REQ-0167,OUT-0167,pass,,
REQ-0168,OUT-0168,pass,,
REQ-0169,OUT-0169,review,,CONTENT_SAFETY
REQ-0170,OUT-0170,pass,,
REQ-0171,OUT-0171,pass,,
REQ-0172,OUT-0172,pass,,
REQ-0173,OUT-0173,pass,,
REQ-0174,OUT-0174,pass,,
REQ-0175,OUT-0175,pass,,
REQ-0176,OUT-0176,review,,CONTENT_SAFETY
REQ-0177,OUT-0177,pass,,
REQ-0178,OUT-0178,review,,AIGC_VISIBLE_LABEL
REQ-0179,OUT-0179,pass,,
REQ-0180,OUT-0180,pass,,
REQ-0181,OUT-0181,pass,,
REQ-0182,OUT-0182,pass,,
REQ-0183,OUT-0183,pass,,
REQ-0184,OUT-0184,pass,,
REQ-0185,OUT-0185,pass,,
REQ-0186,OUT-0186,pass,,
REQ-0187,OUT-0187,pass,,
REQ-0188,OUT-0188,pass,,
REQ-0189,OUT-0189,pass,,
REQ-0190,OUT-0190,fail,CONSENT_SCOPE_USAGE,
REQ-0191,OUT-0191,pass,,
REQ-0192,OUT-0192,pass,,
REQ-0193,OUT-0193,pass,,
REQ-0194,OUT-0194,pass,,
REQ-0195,OUT-0195,pass,,
REQ-0196,OUT-0196,pass,,
REQ-0197,OUT-0197,review,,AIGC_VISIBLE_LABEL
REQ-0198,OUT-0198,pass,,
REQ-0199,OUT-0199,pass,,
REQ-0200,OUT-0200,review,,CONTENT_SAFETY
REQ-0201,OUT-0201,pass,,
REQ-0202,OUT-0202,pass,,
REQ-0203,OUT-0203,pass,,
REQ-0204,OUT-0204,fail,CONTENT_SAFETY,
REQ-0205,OUT-0205,fail,"CONSENT_SCOPE_USAGE,COMPLAINT_HANDLING",
REQ-0206,OUT-0206,pass,,
REQ-0207,OUT-0207,fail,CONSENT_SCOPE_USAGE,
REQ-0208,OUT-0208,pass,,
REQ-0209,OUT-0209,pass,,
REQ-0210,OUT-0210,review,,CONTENT_SAFETY
REQ-0211,OUT-0211,review,,CONTENT_SAFETY
REQ-0212,OUT-0212,pass,,
REQ-0213,OUT-0213,fail,CONTENT_SAFETY,
REQ-0214,OUT-0214,pass,,
REQ-0215,OUT-0215,pass,,
REQ-0216,OUT-0216,pass,,
REQ-0217,OUT-0217,pass,,
REQ-0218,OUT-0218,pass,,
REQ-0219,OUT-0219,pass,,
REQ-0220,OUT-0220,pass,,
REQ-0221,OUT-0221,fail,CONSENT_EXISTS,
REQ-0222,OUT-0222,pass,,
REQ-0223,OUT-0223,pass,,
REQ-0224,OUT-0224,pass,,
REQ-0225,OUT-0225,pass,,
REQ-0226,OUT-0226,pass,,
REQ-0227,OUT-0227,pass,,
REQ-0228,OUT-0228,pass,,
REQ-0229,OUT-0229,review,,CONTENT_SAFETY
REQ-0230,OUT-0230,pass,,
REQ-0231,OUT-0231,review,,AIGC_VISIBLE_LABEL
REQ-0232,OUT-0232,review,,"CONTENT_SAFETY,COMPLAINT_HANDLING"
REQ-0233,OUT-0233,pass,,
REQ-0234,OUT-0234,pass,,
REQ-0235,OUT-0235,pass,,
REQ-0236,OUT-0236,pass,,
REQ-0237,OUT-0237,fail,CONSENT_EXISTS,
REQ-0238,OUT-0238,pass,,
REQ-0239,OUT-0239,review,,AIGC_VISIBLE_LABEL
REQ-0240,OUT-0240,pass,,
REQ-0241,OUT-0241,pass,,
REQ-0242,OUT-0242,pass,,
REQ-0243,OUT-0243,pass,,
REQ-0244,OUT-0244,pass,,
REQ-0245,OUT-0245,pass,,
REQ-0246,OUT-0246,fail,CONTENT_SAFETY,
REQ-0247,OUT-0247,pass,,
REQ-0248,OUT-0248,pass,,
REQ-0249,OUT-0249,pass,,
REQ-0250,OUT-0250,pass,,
REQ-0251,OUT-0251,review,,CONTENT_SAFETY
REQ-0252,OUT-0252,pass,,
REQ-0253,OUT-0253,pass,,
REQ-0254,OUT-0254,fail,MODEL_FILING,
REQ-0255,OUT-0255,review,,AIGC_VISIBLE_LABEL
REQ-0256,OUT-0256,review,,AIGC_VISIBLE_LABEL
REQ-0257,OUT-0257,review,,CONTENT_SAFETY
REQ-0258,OUT-0258,pass,,
REQ-0259,OUT-0259,pass,,
REQ-0260,OUT-0260,pass,,
REQ-0261,OUT-0261,pass,,
REQ-0262,OUT-0262,pass,,
REQ-0263,OUT-0263,pass,,
REQ-0264,OUT-0264,fail,AIGC_INVISIBLE_LABEL,
REQ-0265,OUT-0265,pass,,
REQ-0266,OUT-0266,review,,CONTENT_SAFETY
REQ-0267,OUT-0267,pass,,
REQ-0268,OUT-0268,pass,,
REQ-0269,OUT-0269,pass,,
REQ-0270,OUT-0270,pass,,
REQ-0271,OUT-0271,pass,,
REQ-0272,OUT-0272,pass,,
REQ-0273,OUT-0273,pass,,
REQ-0274,OUT-0274,pass,,
REQ-0275,OUT-0275,pass,,
REQ-0276,OUT-0276,pass,,
REQ-0277,OUT-0277,pass,,
REQ-0278,OUT-0278,pass,,
REQ-0279,OUT-0279,pass,,
REQ-0280,OUT-0280,review,,CONTENT_SAFETY
REQ-0281,OUT-0281,pass,,
REQ-0282,OUT-0282,pass,,
REQ-0283,OUT-0283,pass,,
REQ-0284,OUT-0284,pass,,
REQ-0285,OUT-0285,review,,CONTENT_SAFETY
REQ-0286,OUT-0286,pass,,
REQ-0287,OUT-0287,review,,CONTENT_SAFETY
REQ-0288,OUT-0288,pass,,
REQ-0289,OUT-0289,pass,,
REQ-0290,OUT-0290,pass,,
REQ-0291,OUT-0291,pass,,
REQ-0292,OUT-0292,review,,AIGC_VISIBLE_LABEL
REQ-0293,OUT-0293,pass,,
REQ-0294,OUT-0294,pass,,
REQ-0295,OUT-0295,pass,,
REQ-0296,OUT-0296,pass,,
REQ-0297,OUT-0297,pass,,
REQ-0298,OUT-0298,pass,,
REQ-0299,OUT-0299,pass,,
REQ-0300,OUT-0300,pass,,
REQ-0301,OUT-0301,pass,,
REQ-0302,OUT-0302,pass,,
REQ-0303,OUT-0303,pass,,
REQ-0304,OUT-0304,pass,,
REQ-0305,OUT-0305,pass,,
REQ-0306,OUT-0306,pass,,
REQ-0307,OUT-0307,pass,,
REQ-0308,OUT-0308,pass,,
REQ-0309,OUT-0309,pass,,
REQ-0310,OUT-0310,review,,AIGC_VISIBLE_LABEL
REQ-0311,OUT-0311,fail,CONSENT_SCOPE_USAGE,
REQ-0312,OUT-0312,fail,CONSENT_EXISTS,
REQ-0313,OUT-0313,pass,,
REQ-0314,OUT-0314,pass,,
REQ-0315,OUT-0315,review,,AIGC_VISIBLE_LABEL
REQ-0316,OUT-0316,pass,,
REQ-0317,OUT-0317,pass,,
REQ-0318,OUT-0318,pass,,
REQ-0319,OUT-0319,pass,,
REQ-0320,OUT-0320,pass,,
REQ-0321,OUT-0321,pass,,
REQ-0322,OUT-0322,pass,,
REQ-0323,OUT-0323,pass,,
REQ-0324,OUT-0324,pass,,
REQ-0325,OUT-0325,review,,AIGC_VISIBLE_LABEL
REQ-0326,OUT-0326,review,,CONTENT_SAFETY
REQ-0327,OUT-0327,pass,,
REQ-0328,OUT-0328,pass,,
REQ-0329,OUT-0329,pass,,
REQ-0330,OUT-0330,pass,,
REQ-0331,OUT-0331,review,,AIGC_VISIBLE_LABEL
REQ-0332,OUT-0332,pass,,
REQ-0333,OUT-0333,pass,,
REQ-0334,OUT-0334,pass,,
REQ-0335,OUT-0335,pass,,
REQ-0336,OUT-0336,pass,,
REQ-0337,OUT-0337,pass,,
REQ-0338,OUT-0338,pass,,
REQ-0339,OUT-0339,pass,,
REQ-0340,OUT-0340,pass,,
REQ-0341,OUT-0341,pass,,
REQ-0342,OUT-0342,pass,,
REQ-0343,OUT-0343,pass,,
REQ-0344,OUT-0344,review,,AIGC_VISIBLE_LABEL
REQ-0345,OUT-0345,pass,,
REQ-0346,OUT-0346,pass,,
REQ-0347,OUT-0347,pass,,
REQ-0348,OUT-0348,review,,AIGC_VISIBLE_LABEL
REQ-0349,OUT-0349,pass,,
REQ-0350,OUT-0350,review,,CONTENT_SAFETY
REQ-0351,OUT-0351,pass,,
REQ-0352,OUT-0352,review,,AIGC_VISIBLE_LABEL
REQ-0353,OUT-0353,pass,,
REQ-0354,OUT-0354,pass,,
REQ-0355,OUT-0355,pass,,
REQ-0356,OUT-0356,pass,,
REQ-0357,OUT-0357,review,,AIGC_VISIBLE_LABEL
REQ-0358,OUT-0358,pass,,
REQ-0359,OUT-0359,review,,CONTENT_SAFETY
REQ-0360,OUT-0360,pass,,
REQ-0361,OUT-0361,pass,,
REQ-0362,OUT-0362,pass,,
REQ-0363,OUT-0363,pass,,
REQ-0364,OUT-0364,pass,,
REQ-0365,OUT-0365,fail,CONSENT_EXISTS,
REQ-0366,OUT-0366,pass,,
REQ-0367,OUT-0367,pass,,
REQ-0368,OUT-0368,review,,CONTENT_SAFETY
REQ-0369,OUT-0369,pass,,
REQ-0370,OUT-0370,pass,,
REQ-0371,OUT-0371,pass,,
REQ-0372,OUT-0372,pass,,
REQ-0373,OUT-0373,pass,,
REQ-0374,OUT-0374,pass,,
REQ-0375,OUT-0375,review,,CONTENT_SAFETY
REQ-0376,OUT-0376,pass,,
REQ-0377,OUT-0377,pass,,
REQ-0378,OUT-0378,fail,CONSENT_EXISTS,
REQ-0379,OUT-0379,pass,,
REQ-0380,OUT-0380,pass,,
REQ-0381,OUT-0381,pass,,
REQ-0382,OUT-0382,pass,,
REQ-0383,OUT-0383,fail,AIGC_INVISIBLE_LABEL,
REQ-0384,OUT-0384,pass,,
REQ-0385,OUT-0385,pass,,
REQ-0386,OUT-0386,pass,,
REQ-0387,OUT-0387,pass,,
REQ-0388,OUT-0388,pass,,
REQ-0389,OUT-0389,pass,,
REQ-0390,OUT-0390,pass,,
REQ-0391,OUT-0391,pass,,
REQ-0392,OUT-0392,pass,,
REQ-0393,OUT-0393,pass,,
REQ-0394,OUT-0394,pass,,
REQ-0395,OUT-0395,review,,AIGC_VISIBLE_LABEL
REQ-0396,OUT-0396,pass,,
REQ-0397,OUT-0397,pass,,
REQ-0398,OUT-0398,fail,AIGC_INVISIBLE_LABEL,
REQ-0399,OUT-0399,review,,AIGC_VISIBLE_LABEL
REQ-0400,OUT-0400,pass,,
REQ-0401,OUT-0401,pass,,
REQ-0402,OUT-0402,pass,,
REQ-0403,OUT-0403,pass,,
REQ-0404,OUT-0404,fail,CONTENT_SAFETY,
REQ-0405,OUT-0405,pass,,
REQ-0406,OUT-0406,pass,,
REQ-0407,OUT-0407,review,,AIGC_VISIBLE_LABEL
REQ-0408,OUT-0408,pass,,
REQ-0409,OUT-0409,pass,,
REQ-0410,OUT-0410,pass,,
REQ-0411,OUT-0411,pass,,
REQ-0412,OUT-0412,fail,"CONSENT_EXISTS,COMPLAINT_HANDLING",
REQ-0413,OUT-0413,pass,,
REQ-0414,OUT-0414,pass,,
REQ-0415,OUT-0415,pass,,
REQ-0416,OUT-0416,pass,,
REQ-0417,OUT-0417,pass,,
REQ-0418,OUT-0418,pass,,
REQ-0419,OUT-0419,pass,,
REQ-0420,OUT-0420,pass,,
REQ-0421,OUT-0421,pass,,
REQ-0422,OUT-0422,fail,CONSENT_EXISTS,
REQ-0423,OUT-0423,review,,AIGC_VISIBLE_LABEL
REQ-0424,OUT-0424,pass,,
REQ-0425,OUT-0425,review,,AIGC_VISIBLE_LABEL
REQ-0426,OUT-0426,pass,,
REQ-0427,OUT-0427,review,,CONTENT_SAFETY
REQ-0428,OUT-0428,pass,,
REQ-0429,OUT-0429,pass,,
REQ-0430,OUT-0430,pass,,
REQ-0431,OUT-0431,pass,,
REQ-0432,OUT-0432,pass,,
REQ-0433,OUT-0433,fail,CONSENT_EXISTS,
REQ-0434,OUT-0434,review,,CONTENT_SAFETY
REQ-0435,OUT-0435,pass,,
REQ-0436,OUT-0436,pass,,
REQ-0437,OUT-0437,pass,,
REQ-0438,OUT-0438,pass,,
REQ-0439,OUT-0439,pass,,
REQ-0440,OUT-0440,review,,AIGC_VISIBLE_LABEL
REQ-0441,OUT-0441,pass,,
REQ-0442,OUT-0442,pass,,
REQ-0443,OUT-0443,fail,"CONSENT_EXISTS,COMPLAINT_HANDLING",
REQ-0444,OUT-0444,pass,,
REQ-0445,OUT-0445,review,,CONTENT_SAFETY
REQ-0446,OUT-0446,pass,,
REQ-0447,OUT-0447,pass,,
REQ-0448,OUT-0448,pass,,
REQ-0449,OUT-0449,pass,,
REQ-0450,OUT-0450,pass,,
REQ-0451,OUT-0451,pass,,
REQ-0452,OUT-0452,pass,,
REQ-0453,OUT-0453,pass,,
REQ-0454,OUT-0454,pass,,
REQ-0455,OUT-0455,pass,,
REQ-0456,OUT-0456,pass,,
REQ-0457,OUT-0457,pass,,
REQ-0458,OUT-0458,pass,,
REQ-0459,OUT-0459,pass,,
REQ-0460,OUT-0460,review,,CONTENT_SAFETY
REQ-0461,OUT-0461,pass,,
REQ-0462,OUT-0462,pass,,
REQ-0463,OUT-0463,review,,CONTENT_SAFETY
REQ-0464,OUT-0464,pass,,
REQ-0465,OUT-0465,review,,AIGC_VISIBLE_LABEL
REQ-0466,OUT-0466,pass,,
REQ-0467,OUT-0467,pass,,
REQ-0468,OUT-0468,pass,,
REQ-0469,OUT-0469,fail,AIGC_INVISIBLE_LABEL,
REQ-0470,OUT-0470,pass,,
REQ-0471,OUT-0471,pass,,
REQ-0472,OUT-0472,review,,CONTENT_SAFETY
REQ-0473,OUT-0473,review,,AIGC_VISIBLE_LABEL
REQ-0474,OUT-0474,pass,,
REQ-0475,OUT-0475,fail,CONSENT_EXISTS,
REQ-0476,OUT-0476,pass,,
REQ-0477,OUT-0477,pass,,
REQ-0478,OUT-0478,pass,,
REQ-0479,OUT-0479,pass,,
REQ-0480,OUT-0480,pass,,
REQ-0481,OUT-0481,pass,,
REQ-0482,OUT-0482,pass,,
REQ-0483,OUT-0483,pass,,
REQ-0484,OUT-0484,fail,"CONSENT_SCOPE_USAGE,COMPLAINT_HANDLING",
REQ-0485,OUT-0485,pass,,
REQ-0486,OUT-0486,pass,,
REQ-0487,OUT-0487,review,,AIGC_VISIBLE_LABEL
REQ-0488,OUT-0488,review,,AIGC_VISIBLE_LABEL
REQ-0489,OUT-0489,pass,,
REQ-0490,OUT-0490,fail,"CONSENT_EXISTS,COMPLAINT_HANDLING",
REQ-0491,OUT-0491,pass,,
REQ-0492,OUT-0492,review,,CONTENT_SAFETY
REQ-0493,OUT-0493,fail,MODEL_FILING,
REQ-0494,OUT-0494,pass,,
REQ-0495,OUT-0495,pass,,
REQ-0496,OUT-0496,pass,,
REQ-0497,OUT-0497,pass,,
REQ-0498,OUT-0498,review,,CONTENT_SAFETY
REQ-0499,OUT-0499,pass,,
REQ-0500,OUT-0500,fail,CONSENT_SCOPE_USAGE,
REQ-0501,OUT-0501,pass,,
REQ-0502,OUT-0502,fail,MODEL_FILING,
REQ-0503,OUT-0503,pass,,
REQ-0504,OUT-0504,review,,CONTENT_SAFETY
REQ-0505,OUT-0505,review,,CONTENT_SAFETY
REQ-0506,OUT-0506,review,,AIGC_VISIBLE_LABEL
REQ-0507,OUT-0507,pass,,
REQ-0508,OUT-0508,pass,,
REQ-0509,OUT-0509,pass,,
REQ-0510,OUT-0510,review,,AIGC_VISIBLE_LABEL
REQ-0511,OUT-0511,pass,,
REQ-0512,OUT-0512,fail,AIGC_INVISIBLE_LABEL,
REQ-0513,OUT-0513,fail,CONSENT_EXISTS,
REQ-0514,OUT-0514,pass,,
REQ-0515,OUT-0515,pass,,
REQ-0516,OUT-0516,review,,CONTENT_SAFETY
REQ-0517,OUT-0517,pass,,
REQ-0518,OUT-0518,fail,"CONSENT_EXISTS,COMPLAINT_HANDLING",
REQ-0519,OUT-0519,pass,,
REQ-0520,OUT-0520,fail,CONSENT_SCOPE_USAGE,
REQ-0521,OUT-0521,pass,,
REQ-0522,OUT-0522,pass,,
REQ-0523,OUT-0523,pass,,
REQ-0524,OUT-0524,pass,,
REQ-0525,OUT-0525,pass,,
REQ-0526,OUT-0526,pass,,
REQ-0527,OUT-0527,fail,CONSENT_EXISTS,
REQ-0528,OUT-0528,fail,CONSENT_EXISTS,
REQ-0529,OUT-0529,pass,,
REQ-0530,OUT-0530,review,,CONTENT_SAFETY
REQ-0531,OUT-0531,pass,,
REQ-0532,OUT-0532,pass,,
REQ-0533,OUT-0533,fail,"CONSENT_EXISTS,COMPLAINT_HANDLING",
REQ-0534,OUT-0534,pass,,
REQ-0535,OUT-0535,review,,AIGC_VISIBLE_LABEL
REQ-0536,OUT-0536,pass,,
REQ-0537,OUT-0537,pass,,
REQ-0538,OUT-0538,pass,,
REQ-0539,OUT-0539,review,,AIGC_VISIBLE_LABEL
REQ-0540,OUT-0540,pass,,
REQ-0541,OUT-0541,pass,,
REQ-0542,OUT-0542,pass,,
REQ-0543,OUT-0543,pass,,
REQ-0544,OUT-0544,pass,,
REQ-0545,OUT-0545,review,,AIGC_VISIBLE_LABEL
REQ-0546,OUT-0546,pass,,
REQ-0547,OUT-0547,fail,CONSENT_EXISTS,
REQ-0548,OUT-0548,pass,,
REQ-0549,OUT-0549,pass,,
REQ-0550,OUT-0550,pass,,
REQ-0551,OUT-0551,pass,,
REQ-0552,OUT-0552,pass,,
REQ-0553,OUT-0553,pass,,
REQ-0554,OUT-0554,pass,,
REQ-0555,OUT-0555,pass,,
REQ-0556,OUT-0556,pass,,
REQ-0557,OUT-0557,pass,,
REQ-0558,OUT-0558,pass,,
REQ-0559,OUT-0559,pass,,
REQ-0560,OUT-0560,pass,,
REQ-0561,OUT-0561,pass,,
REQ-0562,OUT-0562,pass,,
REQ-0563,OUT-0563,pass,,
REQ-0564,OUT-0564,pass,,
REQ-0565,OUT-0565,fail,AIGC_INVISIBLE_LABEL,
REQ-0566,OUT-0566,pass,,
REQ-0567,OUT-0567,pass,,
REQ-0568,OUT-0568,review,,"CONTENT_SAFETY,COMPLAINT_HANDLING"
REQ-0569,OUT-0569,pass,,
REQ-0570,OUT-0570,pass,,
REQ-0571,OUT-0571,pass,,
REQ-0572,OUT-0572,pass,,
REQ-0573,OUT-0573,pass,,
REQ-0574,OUT-0574,pass,,
REQ-0575,OUT-0575,pass,,
REQ-0576,OUT-0576,pass,,
REQ-0577,OUT-0577,pass,,
REQ-0578,OUT-0578,pass,,
REQ-0579,OUT-0579,pass,,
REQ-0580,OUT-0580,pass,,
REQ-0581,OUT-0581,pass,,
REQ-0582,OUT-0582,pass,,
REQ-0583,OUT-0583,pass,,
REQ-0584,OUT-0584,fail,CONSENT_EXISTS,
REQ-0585,OUT-0585,pass,,
REQ-0586,OUT-0586,pass,,
REQ-0587,OUT-0587,pass,,
REQ-0588,OUT-0588,pass,,
REQ-0589,OUT-0589,pass,,
REQ-0590,OUT-0590,pass,,
REQ-0591,OUT-0591,pass,,
REQ-0592,OUT-0592,pass,,
REQ-0593,OUT-0593,pass,,
REQ-0594,OUT-0594,review,,AIGC_VISIBLE_LABEL
REQ-0595,OUT-0595,pass,,
REQ-0596,OUT-0596,pass,,
REQ-0597,OUT-0597,pass,,
REQ-0598,OUT-0598,pass,,
REQ-0599,OUT-0599,review,,CONTENT_SAFETY
REQ-0600,OUT-0600,pass,,
REQ-0601,OUT-0601,pass,,
REQ-0602,OUT-0602,review,,AIGC_VISIBLE_LABEL
REQ-0603,OUT-0603,pass,,
REQ-0604,OUT-0604,pass,,
REQ-0605,OUT-0605,pass,,
REQ-0606,OUT-0606,pass,,
REQ-0607,OUT-0607,pass,,
REQ-0608,OUT-0608,fail,MODEL_FILING,
REQ-0609,OUT-0609,pass,,
REQ-0610,OUT-0610,pass,,
REQ-0611,OUT-0611,pass,,
REQ-0612,OUT-0612,pass,,
REQ-0613,OUT-0613,pass,,
REQ-0614,OUT-0614,pass,,
REQ-0615,OUT-0615,pass,,
REQ-0616,OUT-0616,review,,AIGC_VISIBLE_LABEL
REQ-0617,OUT-0617,pass,,
REQ-0618,OUT-0618,pass,,
REQ-0619,OUT-0619,pass,,
REQ-0620,OUT-0620,pass,,
REQ-0621,OUT-0621,review,,AIGC_VISIBLE_LABEL
REQ-0622,OUT-0622,fail,MODEL_FILING,
REQ-0623,OUT-0623,review,,AIGC_VISIBLE_LABEL
REQ-0624,OUT-0624,pass,,
REQ-0625,OUT-0625,pass,,
REQ-0626,OUT-0626,pass,,
REQ-0627,OUT-0627,pass,,
REQ-0628,OUT-0628,pass,,
REQ-0629,OUT-0629,pass,,
REQ-0630,OUT-0630,review,,AIGC_VISIBLE_LABEL
REQ-0631,OUT-0631,pass,,
REQ-0632,OUT-0632,pass,,
REQ-0633,OUT-0633,pass,,
REQ-0634,OUT-0634,pass,,
REQ-0635,OUT-0635,pass,,
